,mean_output
1,-80.318
2,-72.577
3,-58.762
4,-54.133
5,-57.54
6,-63.688
7,-58.466
8,-45.059
9,-22.059
10,-5.799
11,-6.947
12,-17.985
13,-17.577
14,-4.17
15,7.793
16,16.904
17,21.275
18,21.682
19,14.867
20,9.127
21,1.645
22,-8.244
23,-14.725
24,-16.651
25,-13.762
26,-12.799
27,-11.577
28,-7.244
29,-2.651
30,0.127
31,-76.614
32,-71.688
33,-57.873
34,-51.614
35,-53.429
36,-62.429
37,-61.54
38,-46.947
39,-21.651
40,-1.799
41,1.46
42,-3.836
43,6.09
44,28.682
45,47.09
46,55.571
47,56.904
48,58.053
49,55.015
50,50.904
51,42.682
52,32.83
53,25.83
54,24.756
55,29.312
56,33.571
57,37.09
58,41.053
59,43.682
60,45.201
61,-61.17
62,-61.688
63,-55.725
64,-54.281
65,-57.947
66,-67.392
67,-68.836
68,-55.651
69,-35.466
70,-19.947
71,-13.725
72,-9.392
73,11.201
74,41.09
75,66.127
76,78.386
77,81.312
78,82.645
79,80.015
80,73.978
81,63.571
82,53.164
83,44.719
84,41.682
85,46.312
86,52.941
87,60.645
88,64.83
89,67.423
90,68.46
91,-34.096
92,-47.836
93,-58.429
94,-63.836
95,-68.651
96,-74.022
97,-75.133
98,-66.355
99,-53.54
100,-43.281
101,-34.836
102,-24.503
103,-3.54
104,21.793
105,49.867
106,73.46
107,89.423
108,94.164
109,89.275
110,78.46
111,61.904
112,44.978
113,30.497
114,21.793
115,23.46
116,29.497
117,41.053
118,53.349
119,63.756
120,70.645
121,-6.466
122,-36.318
123,-62.577
124,-72.577
125,-77.059
126,-75.096
127,-70.244
128,-63.466
129,-55.429
130,-47.466
131,-39.836
132,-32.059
133,-17.873
134,-0.503
135,23.349
136,50.386
137,74.682
138,85.46
139,82.015
140,71.053
141,52.46
142,29.127
143,8.312
144,-6.873
145,-10.318
146,-7.91
147,4.608
148,28.053
149,50.645
150,67.46
151,11.127
152,-30.318
153,-62.096
154,-72.985
155,-78.17
156,-70.059
157,-56.466
158,-45.91
159,-40.022
160,-34.577
161,-29.577
162,-24.985
163,-18.059
164,-10.836
165,2.645
166,24.534
167,48.312
168,60.978
169,60.682
170,53.719
171,40.571
172,19.312
173,-0.688
174,-18.355
175,-28.651
176,-34.059
177,-26.355
178,5.793
179,39.238
180,64.386
181,14.756
182,-32.318
183,-62.392
184,-71.466
185,-75.985
186,-64.503
187,-44.762
188,-31.762
189,-30.059
190,-28.836
191,-25.133
192,-18.244
193,-10.392
194,-5.244
195,0.534
196,11.904
197,26.127
198,34.978
199,35.312
200,30.83
201,24.756
202,12.608
203,-1.207
204,-16.466
205,-31.503
206,-42.096
207,-41.947
208,-9.651
209,29.238
210,60.127
211,13.423
212,-34.466
213,-60.133
214,-68.54
215,-74.096
216,-63.762
217,-42.244
218,-27.207
219,-28.17
220,-27.614
221,-22.91
222,-14.392
223,-9.022
224,-5.688
225,1.423
226,10.904
227,18.238
228,19.941
229,16.756
230,9.941
231,6.608
232,4.571
233,-1.059
234,-12.429
235,-31.947
236,-45.799
237,-51.725
238,-23.762
239,18.09
240,54.053
241,10.201
242,-35.577
243,-57.244
244,-65.503
245,-72.54
246,-66.762
247,-46.503
248,-30.799
249,-29.392
250,-23.429
251,-13.762
252,-4.651
253,-7.022
254,-11.281
255,-4.799
256,7.053
257,14.164
