,mean_output
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,1.908
115,2.954
116,-10.033
117,-13.117
118,-6.158
119,-10.637
120,-12.908
121,-4.554
122,11.029
123,7.321
124,-4.283
125,-4.95
126,-1.679
127,2.821
128,11.342
129,14.717
130,12.55
131,2.317
132,-9.333
133,-8.283
134,-7.804
135,-14.367
136,-10.846
137,-4.533
138,5.883
139,16.654
140,13.238
141,5.529
142,6.779
143,9.363
144,7.446
145,9.883
146,-1.387
147,-17.387
148,-13.554
149,-4.867
150,2.333
151,4.367
152,-1.554
153,-11.825
154,-15.262
155,-3.367
156,8.717
157,-0.387
158,-12.596
159,-12.492
160,-10.262
161,-2.075
162,4.842
163,-2.783
164,-5.408
165,0.529
166,6.154
167,13.217
168,11.183
169,6.483
170,5.758
171,3.821
172,-5.158
173,-18.575
174,-9.221
175,1.842
176,-9.617
177,-14.179
178,-6.221
179,2.258
180,2.967
181,6.883
182,6.092
183,0.654
184,-0.783
185,-2.596
186,-2.617
187,-0.6
188,0.3
189,-1.304
190,-3.492
191,-2.221
192,2.863
193,2.467
194,0.258
195,2.821
196,11.904
197,18.967
198,19.05
199,14.571
200,1.029
201,-3.7
202,6.113
203,2.758
204,2.592
205,15.592
206,12.3
207,-4.767
208,-6.346
209,13.175
210,13.8
211,12.467
212,13.008
213,9.613
214,15.738
215,27.092
216,28.488
217,20.363
218,4.55
219,-2.679
220,8.196
221,18.55
222,22.508
223,24.258
224,9.137
225,0.0
226,-8.712
227,-28.658
228,-41.308
229,-31.829
230,-11.204
231,-9.975
232,-19.537
233,-17.933
234,0.421
235,5.984
236,-7.933
237,-9.766
238,-7.037
