id,x,y,layer_name
1,0,0,conv1_conv
2,0,1,conv1_conv
3,0,2,conv1_conv
4,0,3,conv1_conv
5,0,4,conv1_conv
6,0,5,conv1_conv
7,0,6,conv1_conv
8,0,7,conv1_conv
9,0,8,conv1_conv
10,0,9,conv1_conv
11,0,10,conv1_conv
12,0,11,conv1_conv
13,0,12,conv1_conv
14,0,13,conv1_conv
15,0,14,conv1_conv
16,0,15,conv1_conv
17,0,16,conv1_conv
18,0,17,conv1_conv
19,0,18,conv1_conv
20,0,19,conv1_conv
21,0,20,conv1_conv
22,0,21,conv1_conv
23,0,22,conv1_conv
24,0,23,conv1_conv
25,0,24,conv1_conv
26,0,25,conv1_conv
27,0,26,conv1_conv
28,0,27,conv1_conv
29,0,28,conv1_conv
30,0,29,conv1_conv
31,0,30,conv1_conv
32,0,31,conv1_conv
33,0,32,conv1_conv
34,0,33,conv1_conv
35,0,34,conv1_conv
36,0,35,conv1_conv
37,0,36,conv1_conv
38,0,37,conv1_conv
39,0,38,conv1_conv
40,0,39,conv1_conv
41,0,40,conv1_conv
42,0,41,conv1_conv
43,0,42,conv1_conv
44,0,43,conv1_conv
45,0,44,conv1_conv
46,0,45,conv1_conv
47,0,46,conv1_conv
48,0,47,conv1_conv
49,0,48,conv1_conv
50,0,49,conv1_conv
51,0,50,conv1_conv
52,0,51,conv1_conv
53,0,52,conv1_conv
54,0,53,conv1_conv
55,0,54,conv1_conv
56,0,55,conv1_conv
57,0,56,conv1_conv
58,0,57,conv1_conv
59,0,58,conv1_conv
60,0,59,conv1_conv
61,0,60,conv1_conv
62,0,61,conv1_conv
63,0,62,conv1_conv
64,0,63,conv1_conv
65,0,64,conv1_conv
66,0,65,conv1_conv
67,0,66,conv1_conv
68,0,67,conv1_conv
69,0,68,conv1_conv
70,0,69,conv1_conv
71,0,70,conv1_conv
72,0,71,conv1_conv
73,0,72,conv1_conv
74,0,73,conv1_conv
75,0,74,conv1_conv
76,0,75,conv1_conv
77,0,76,conv1_conv
78,0,77,conv1_conv
79,0,78,conv1_conv
80,0,79,conv1_conv
81,0,80,conv1_conv
82,0,81,conv1_conv
83,0,82,conv1_conv
84,0,83,conv1_conv
85,0,84,conv1_conv
86,0,85,conv1_conv
87,0,86,conv1_conv
88,0,87,conv1_conv
89,0,88,conv1_conv
90,0,89,conv1_conv
91,0,90,conv1_conv
92,0,91,conv1_conv
93,0,92,conv1_conv
94,0,93,conv1_conv
95,0,94,conv1_conv
96,0,95,conv1_conv
97,0,96,conv1_conv
98,0,97,conv1_conv
99,0,98,conv1_conv
100,0,99,conv1_conv
101,0,100,conv1_conv
102,0,101,conv1_conv
103,0,102,conv1_conv
104,0,103,conv1_conv
105,0,104,conv1_conv
106,0,105,conv1_conv
107,0,106,conv1_conv
108,0,107,conv1_conv
109,0,108,conv1_conv
110,0,109,conv1_conv
111,0,110,conv1_conv
112,0,111,conv1_conv
113,1,0,conv1_conv
114,1,1,conv1_conv
115,1,2,conv1_conv
116,1,3,conv1_conv
117,1,4,conv1_conv
118,1,5,conv1_conv
119,1,6,conv1_conv
120,1,7,conv1_conv
121,1,8,conv1_conv
122,1,9,conv1_conv
123,1,10,conv1_conv
124,1,11,conv1_conv
125,1,12,conv1_conv
126,1,13,conv1_conv
127,1,14,conv1_conv
128,1,15,conv1_conv
129,1,16,conv1_conv
130,1,17,conv1_conv
131,1,18,conv1_conv
132,1,19,conv1_conv
133,1,20,conv1_conv
134,1,21,conv1_conv
135,1,22,conv1_conv
136,1,23,conv1_conv
137,1,24,conv1_conv
138,1,25,conv1_conv
139,1,26,conv1_conv
140,1,27,conv1_conv
141,1,28,conv1_conv
142,1,29,conv1_conv
143,1,30,conv1_conv
144,1,31,conv1_conv
145,1,32,conv1_conv
146,1,33,conv1_conv
147,1,34,conv1_conv
148,1,35,conv1_conv
149,1,36,conv1_conv
150,1,37,conv1_conv
151,1,38,conv1_conv
152,1,39,conv1_conv
153,1,40,conv1_conv
154,1,41,conv1_conv
155,1,42,conv1_conv
156,1,43,conv1_conv
157,1,44,conv1_conv
158,1,45,conv1_conv
159,1,46,conv1_conv
160,1,47,conv1_conv
161,1,48,conv1_conv
162,1,49,conv1_conv
163,1,50,conv1_conv
164,1,51,conv1_conv
165,1,52,conv1_conv
166,1,53,conv1_conv
167,1,54,conv1_conv
168,1,55,conv1_conv
169,1,56,conv1_conv
170,1,57,conv1_conv
171,1,58,conv1_conv
172,1,59,conv1_conv
173,1,60,conv1_conv
174,1,61,conv1_conv
175,1,62,conv1_conv
176,1,63,conv1_conv
177,1,64,conv1_conv
178,1,65,conv1_conv
179,1,66,conv1_conv
180,1,67,conv1_conv
181,1,68,conv1_conv
182,1,69,conv1_conv
183,1,70,conv1_conv
184,1,71,conv1_conv
185,1,72,conv1_conv
186,1,73,conv1_conv
187,1,74,conv1_conv
188,1,75,conv1_conv
189,1,76,conv1_conv
190,1,77,conv1_conv
191,1,78,conv1_conv
192,1,79,conv1_conv
193,1,80,conv1_conv
194,1,81,conv1_conv
195,1,82,conv1_conv
196,1,83,conv1_conv
197,1,84,conv1_conv
198,1,85,conv1_conv
199,1,86,conv1_conv
200,1,87,conv1_conv
201,1,88,conv1_conv
202,1,89,conv1_conv
203,1,90,conv1_conv
204,1,91,conv1_conv
205,1,92,conv1_conv
206,1,93,conv1_conv
207,1,94,conv1_conv
208,1,95,conv1_conv
209,1,96,conv1_conv
210,1,97,conv1_conv
211,1,98,conv1_conv
212,1,99,conv1_conv
213,1,100,conv1_conv
214,1,101,conv1_conv
215,1,102,conv1_conv
216,1,103,conv1_conv
217,1,104,conv1_conv
218,1,105,conv1_conv
219,1,106,conv1_conv
220,1,107,conv1_conv
221,1,108,conv1_conv
222,1,109,conv1_conv
223,1,110,conv1_conv
224,1,111,conv1_conv
225,2,0,conv1_conv
226,2,1,conv1_conv
227,2,2,conv1_conv
228,2,3,conv1_conv
229,2,4,conv1_conv
230,2,5,conv1_conv
231,2,6,conv1_conv
232,2,7,conv1_conv
233,2,8,conv1_conv
234,2,9,conv1_conv
235,2,10,conv1_conv
236,2,11,conv1_conv
237,2,12,conv1_conv
238,2,13,conv1_conv
239,2,14,conv1_conv
240,2,15,conv1_conv
241,2,16,conv1_conv
242,2,17,conv1_conv
243,2,18,conv1_conv
244,2,19,conv1_conv
245,2,20,conv1_conv
246,2,21,conv1_conv
247,2,22,conv1_conv
248,2,23,conv1_conv
249,2,24,conv1_conv
250,2,25,conv1_conv
251,2,26,conv1_conv
252,2,27,conv1_conv
253,2,28,conv1_conv
254,2,29,conv1_conv
255,2,30,conv1_conv
256,2,31,conv1_conv
257,2,32,conv1_conv
258,2,33,conv1_conv
259,2,34,conv1_conv
260,2,35,conv1_conv
261,2,36,conv1_conv
262,2,37,conv1_conv
263,2,38,conv1_conv
264,2,39,conv1_conv
265,2,40,conv1_conv
266,2,41,conv1_conv
267,2,42,conv1_conv
268,2,43,conv1_conv
269,2,44,conv1_conv
270,2,45,conv1_conv
271,2,46,conv1_conv
272,2,47,conv1_conv
273,2,48,conv1_conv
274,2,49,conv1_conv
275,2,50,conv1_conv
276,2,51,conv1_conv
277,2,52,conv1_conv
278,2,53,conv1_conv
279,2,54,conv1_conv
280,2,55,conv1_conv
281,2,56,conv1_conv
282,2,57,conv1_conv
283,2,58,conv1_conv
284,2,59,conv1_conv
285,2,60,conv1_conv
286,2,61,conv1_conv
287,2,62,conv1_conv
288,2,63,conv1_conv
289,2,64,conv1_conv
290,2,65,conv1_conv
291,2,66,conv1_conv
292,2,67,conv1_conv
293,2,68,conv1_conv
294,2,69,conv1_conv
295,2,70,conv1_conv
296,2,71,conv1_conv
297,2,72,conv1_conv
298,2,73,conv1_conv
299,2,74,conv1_conv
300,2,75,conv1_conv
301,2,76,conv1_conv
302,2,77,conv1_conv
303,2,78,conv1_conv
304,2,79,conv1_conv
305,2,80,conv1_conv
306,2,81,conv1_conv
307,2,82,conv1_conv
308,2,83,conv1_conv
309,2,84,conv1_conv
310,2,85,conv1_conv
311,2,86,conv1_conv
312,2,87,conv1_conv
313,2,88,conv1_conv
314,2,89,conv1_conv
315,2,90,conv1_conv
316,2,91,conv1_conv
317,2,92,conv1_conv
318,2,93,conv1_conv
319,2,94,conv1_conv
320,2,95,conv1_conv
321,2,96,conv1_conv
322,2,97,conv1_conv
323,2,98,conv1_conv
324,2,99,conv1_conv
325,2,100,conv1_conv
326,2,101,conv1_conv
327,2,102,conv1_conv
328,2,103,conv1_conv
329,2,104,conv1_conv
330,2,105,conv1_conv
331,2,106,conv1_conv
332,2,107,conv1_conv
333,2,108,conv1_conv
334,2,109,conv1_conv
335,2,110,conv1_conv
336,2,111,conv1_conv
337,3,0,conv1_conv
338,3,1,conv1_conv
339,3,2,conv1_conv
340,3,3,conv1_conv
341,3,4,conv1_conv
342,3,5,conv1_conv
343,3,6,conv1_conv
344,3,7,conv1_conv
345,3,8,conv1_conv
346,3,9,conv1_conv
347,3,10,conv1_conv
348,3,11,conv1_conv
349,3,12,conv1_conv
350,3,13,conv1_conv
351,3,14,conv1_conv
352,3,15,conv1_conv
353,3,16,conv1_conv
354,3,17,conv1_conv
355,3,18,conv1_conv
356,3,19,conv1_conv
357,3,20,conv1_conv
358,3,21,conv1_conv
359,3,22,conv1_conv
360,3,23,conv1_conv
361,3,24,conv1_conv
362,3,25,conv1_conv
363,3,26,conv1_conv
364,3,27,conv1_conv
365,3,28,conv1_conv
366,3,29,conv1_conv
367,3,30,conv1_conv
368,3,31,conv1_conv
369,3,32,conv1_conv
370,3,33,conv1_conv
371,3,34,conv1_conv
372,3,35,conv1_conv
373,3,36,conv1_conv
374,3,37,conv1_conv
375,3,38,conv1_conv
376,3,39,conv1_conv
377,3,40,conv1_conv
378,3,41,conv1_conv
379,3,42,conv1_conv
380,3,43,conv1_conv
381,3,44,conv1_conv
382,3,45,conv1_conv
383,3,46,conv1_conv
384,3,47,conv1_conv
385,3,48,conv1_conv
386,3,49,conv1_conv
387,3,50,conv1_conv
388,3,51,conv1_conv
389,3,52,conv1_conv
390,3,53,conv1_conv
391,3,54,conv1_conv
392,3,55,conv1_conv
393,3,56,conv1_conv
394,3,57,conv1_conv
395,3,58,conv1_conv
396,3,59,conv1_conv
397,3,60,conv1_conv
398,3,61,conv1_conv
399,3,62,conv1_conv
400,3,63,conv1_conv
401,3,64,conv1_conv
402,3,65,conv1_conv
403,3,66,conv1_conv
404,3,67,conv1_conv
405,3,68,conv1_conv
406,3,69,conv1_conv
407,3,70,conv1_conv
408,3,71,conv1_conv
409,3,72,conv1_conv
410,3,73,conv1_conv
411,3,74,conv1_conv
412,3,75,conv1_conv
413,3,76,conv1_conv
414,3,77,conv1_conv
415,3,78,conv1_conv
416,3,79,conv1_conv
417,3,80,conv1_conv
418,3,81,conv1_conv
419,3,82,conv1_conv
420,3,83,conv1_conv
421,3,84,conv1_conv
422,3,85,conv1_conv
423,3,86,conv1_conv
424,3,87,conv1_conv
425,3,88,conv1_conv
426,3,89,conv1_conv
427,3,90,conv1_conv
428,3,91,conv1_conv
429,3,92,conv1_conv
430,3,93,conv1_conv
431,3,94,conv1_conv
432,3,95,conv1_conv
433,3,96,conv1_conv
434,3,97,conv1_conv
435,3,98,conv1_conv
436,3,99,conv1_conv
437,3,100,conv1_conv
438,3,101,conv1_conv
439,3,102,conv1_conv
440,3,103,conv1_conv
441,3,104,conv1_conv
442,3,105,conv1_conv
443,3,106,conv1_conv
444,3,107,conv1_conv
445,3,108,conv1_conv
446,3,109,conv1_conv
447,3,110,conv1_conv
448,3,111,conv1_conv
449,4,0,conv1_conv
450,4,1,conv1_conv
451,4,2,conv1_conv
452,4,3,conv1_conv
453,4,4,conv1_conv
454,4,5,conv1_conv
455,4,6,conv1_conv
456,4,7,conv1_conv
457,4,8,conv1_conv
458,4,9,conv1_conv
459,4,10,conv1_conv
460,4,11,conv1_conv
461,4,12,conv1_conv
462,4,13,conv1_conv
463,4,14,conv1_conv
464,4,15,conv1_conv
465,4,16,conv1_conv
466,4,17,conv1_conv
467,4,18,conv1_conv
468,4,19,conv1_conv
469,4,20,conv1_conv
470,4,21,conv1_conv
471,4,22,conv1_conv
472,4,23,conv1_conv
473,4,24,conv1_conv
474,4,25,conv1_conv
475,4,26,conv1_conv
476,4,27,conv1_conv
477,4,28,conv1_conv
478,4,29,conv1_conv
479,4,30,conv1_conv
480,4,31,conv1_conv
481,4,32,conv1_conv
482,4,33,conv1_conv
483,4,34,conv1_conv
484,4,35,conv1_conv
485,4,36,conv1_conv
486,4,37,conv1_conv
487,4,38,conv1_conv
488,4,39,conv1_conv
489,4,40,conv1_conv
490,4,41,conv1_conv
491,4,42,conv1_conv
492,4,43,conv1_conv
493,4,44,conv1_conv
494,4,45,conv1_conv
495,4,46,conv1_conv
496,4,47,conv1_conv
497,4,48,conv1_conv
498,4,49,conv1_conv
499,4,50,conv1_conv
500,4,51,conv1_conv
501,4,52,conv1_conv
502,4,53,conv1_conv
503,4,54,conv1_conv
504,4,55,conv1_conv
505,4,56,conv1_conv
506,4,57,conv1_conv
507,4,58,conv1_conv
508,4,59,conv1_conv
509,4,60,conv1_conv
510,4,61,conv1_conv
511,4,62,conv1_conv
512,4,63,conv1_conv
513,4,64,conv1_conv
514,4,65,conv1_conv
515,4,66,conv1_conv
516,4,67,conv1_conv
517,4,68,conv1_conv
518,4,69,conv1_conv
519,4,70,conv1_conv
520,4,71,conv1_conv
521,4,72,conv1_conv
522,4,73,conv1_conv
523,4,74,conv1_conv
524,4,75,conv1_conv
525,4,76,conv1_conv
526,4,77,conv1_conv
527,4,78,conv1_conv
528,4,79,conv1_conv
529,4,80,conv1_conv
530,4,81,conv1_conv
531,4,82,conv1_conv
532,4,83,conv1_conv
533,4,84,conv1_conv
534,4,85,conv1_conv
535,4,86,conv1_conv
536,4,87,conv1_conv
537,4,88,conv1_conv
538,4,89,conv1_conv
539,4,90,conv1_conv
540,4,91,conv1_conv
541,4,92,conv1_conv
542,4,93,conv1_conv
543,4,94,conv1_conv
544,4,95,conv1_conv
545,4,96,conv1_conv
546,4,97,conv1_conv
547,4,98,conv1_conv
548,4,99,conv1_conv
549,4,100,conv1_conv
550,4,101,conv1_conv
551,4,102,conv1_conv
552,4,103,conv1_conv
553,4,104,conv1_conv
554,4,105,conv1_conv
555,4,106,conv1_conv
