,mean_output
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,-0.05
115,-0.146
116,-0.195
117,-0.199
118,-0.198
119,-0.196
120,-0.196
121,-0.187
122,-0.182
123,-0.186
124,-0.192
125,-0.194
126,-0.191
127,-0.188
128,-0.186
129,-0.187
130,-0.182
131,-0.175
132,-0.179
133,-0.185
134,-0.179
135,-0.173
136,-0.172
137,-0.17
138,-0.172
139,-0.172
140,-0.164
141,-0.163
142,-0.166
143,-0.165
144,-0.166
145,-0.165
146,-0.159
147,-0.16
148,-0.158
149,-0.155
150,-0.161
151,-0.164
152,-0.163
153,-0.157
154,-0.156
155,-0.152
156,-0.152
157,-0.163
158,-0.163
159,-0.155
160,-0.148
161,-0.143
162,-0.142
163,-0.145
164,-0.147
165,-0.146
166,-0.147
167,-0.149
168,-0.146
169,-0.147
170,-0.15
171,-0.148
172,-0.128
173,-0.065
174,-0.04
175,-0.049
176,-0.042
177,-0.04
178,-0.034
179,-0.034
180,-0.043
181,-0.042
182,-0.037
183,-0.038
184,-0.028
185,-0.026
186,-0.036
187,-0.031
188,-0.033
189,-0.04
190,-0.037
191,-0.037
192,-0.038
193,-0.035
194,-0.04
195,-0.042
196,-0.036
197,-0.038
198,-0.041
199,-0.04
200,-0.046
201,-0.05
202,-0.051
203,-0.051
204,-0.052
205,-0.054
206,-0.046
207,-0.046
208,-0.055
209,-0.052
210,-0.046
211,-0.053
212,-0.06
213,-0.06
214,-0.06
215,-0.06
216,-0.063
217,-0.063
218,-0.062
219,-0.066
220,-0.068
221,-0.073
222,-0.081
223,-0.081
224,-0.031
225,0.0
226,-0.15
227,-0.441
228,-0.582
