,mean_output
1,39.13
2,35.794
3,33.395
4,34.551
5,34.638
6,28.76
7,21.098
8,18.214
9,20.683
10,21.667
11,20.658
12,21.64
13,24.405
14,28.506
15,29.097
16,26.978
17,23.213
18,22.2
19,21.769
20,22.6
21,20.863
22,18.148
23,17.112
24,18.491
25,20.803
26,26.165
27,29.682
28,31.642
29,27.841
30,28.8
31,33.816
32,39.224
33,39.883
34,38.755
35,38.793
36,38.486
37,35.183
38,32.188
39,27.887
40,26.08
41,26.969
42,32.018
43,34.938
44,35.653
45,33.463
46,32.638
47,29.209
48,27.002
49,26.301
50,27.847
51,28.138
52,29.217
53,29.012
54,29.192
55,29.31
56,29.435
57,29.438
58,27.412
59,26.958
60,26.172
61,27.949
62,33.464
63,47.196
64,51.748
65,47.856
66,38.191
67,32.635
68,34.182
69,35.536
70,35.702
71,31.758
72,25.334
73,23.084
74,22.229
75,22.05
76,22.326
77,23.015
78,26.203
79,31.014
80,33.165
81,35.029
82,27.307
83,27.432
84,23.907
85,27.447
86,26.15
87,29.62
88,33.469
89,32.61
90,30.025
91,26.934
92,28.463
93,26.458
94,24.989
95,23.566
96,23.512
97,25.025
98,23.336
99,21.276
100,17.014
101,14.072
102,13.115
103,15.207
104,18.379
105,22.311
106,24.852
107,25.986
108,25.598
109,23.198
110,21.095
111,19.127
112,17.321
113,15.697
114,16.634
115,25.831
116,36.28
117,45.798
118,42.76
119,40.683
120,41.146
121,38.868
122,36.505
123,27.636
124,29.566
125,33.758
126,41.275
127,45.171
128,40.716
129,33.43
130,31.862
131,31.09
132,30.436
133,23.577
134,19.821
135,23.184
136,25.763
137,30.316
138,24.313
139,20.578
140,16.79
141,21.31
142,27.614
143,34.801
144,39.727
145,44.902
146,41.765
147,35.695
148,31.893
149,30.008
150,31.36
151,28.909
152,30.193
153,27.218
154,22.46
155,19.539
156,18.781
157,18.982
158,18.146
159,17.998
160,19.663
161,20.077
162,21.642
163,23.629
164,24.603
165,29.657
166,33.242
167,36.51
168,41.788
169,50.861
170,60.881
171,57.143
172,46.772
173,43.342
174,38.97
175,40.324
176,29.541
177,27.144
178,22.599
179,28.559
180,31.845
181,34.855
182,34.138
183,38.545
184,43.962
185,51.095
186,53.888
187,54.456
188,63.545
189,62.99
190,55.851
191,34.44
192,28.125
193,29.936
194,32.607
195,30.07
196,25.302
197,23.73
198,23.412
199,23.816
200,23.35
201,24.94
202,30.973
203,38.299
204,42.984
205,43.04
206,41.936
207,40.768
208,38.638
209,40.859
210,47.231
211,44.235
212,32.341
213,17.099
214,16.529
215,21.946
216,28.39
217,30.166
218,29.631
219,29.394
220,30.156
221,32.905
222,36.091
223,40.698
224,36.105
225,33.347
226,39.012
227,42.984
228,37.705
229,26.466
230,17.928
231,18.244
232,18.161
233,19.36
234,23.358
235,29.021
236,33.3
237,31.594
238,26.948
239,26.156
240,27.277
241,28.549
242,26.461
243,24.129
244,21.624
245,19.739
246,20.571
247,22.725
248,26.685
249,30.204
250,32.602
251,31.851
252,36.866
253,43.011
254,45.9
255,40.907
256,37.381
257,38.251
258,39.904
259,36.935
260,35.211
261,32.82
262,31.95
263,34.977
264,38.012
265,41.718
266,38.027
267,34.18
268,31.111
269,32.155
270,34.257
271,34.628
272,32.427
273,28.351
274,27.2
275,27.494
276,28.94
277,29.645
278,28.709
279,28.062
280,25.469
281,25.083
282,24.43
283,26.236
284,29.692
285,48.826
286,58.917
287,55.341
288,40.196
289,30.624
290,35.88
291,38.55
292,37.96
293,32.655
294,26.679
295,25.198
296,24.0
297,23.106
298,23.387
299,24.679
300,27.808
301,31.907
302,32.182
303,30.746
304,23.348
305,25.015
306,25.526
307,31.154
308,29.141
309,30.608
310,34.06
311,35.684
312,33.526
313,28.935
314,28.372
315,26.961
316,28.47
317,31.761
318,33.49
319,33.189
320,27.818
321,24.449
322,18.745
323,15.213
324,13.86
325,15.399
326,17.759
327,21.66
328,24.406
329,23.759
330,20.2
331,16.072
332,15.1
333,15.536
334,15.83
335,17.177
336,20.462
337,30.876
338,39.593
339,50.174
340,45.41
341,41.809
342,37.524
343,36.016
344,38.922
345,35.151
346,38.222
347,37.427
348,41.826
349,43.174
350,43.453
351,36.865
352,38.229
353,34.721
354,34.735
355,27.329
356,22.811
357,23.742
358,23.155
359,27.134
360,21.921
361,20.49
362,20.111
363,28.439
364,36.679
365,40.935
366,39.796
367,42.323
368,38.99
369,35.63
370,34.427
371,33.898
372,36.488
373,32.391
374,36.411
375,34.174
376,29.121
377,22.906
378,20.219
379,20.07
380,18.848
381,18.396
382,20.254
383,21.446
384,24.218
385,25.925
386,29.361
387,34.424
388,37.784
389,38.066
390,44.483
391,53.771
392,63.08
393,58.414
394,48.712
395,45.754
396,40.414
397,42.836
398,32.518
399,30.172
400,24.638
401,30.487
402,34.034
403,36.591
404,38.218
405,41.053
406,46.118
407,50.813
408,54.781
409,51.453
410,56.145
411,56.585
412,52.346
413,36.041
414,28.045
415,31.319
416,35.458
417,35.372
418,31.029
419,26.056
420,22.107
421,20.56
422,19.613
423,20.349
424,24.316
425,30.785
426,34.818
427,33.995
428,29.641
429,25.579
430,22.485
431,25.907
432,39.555
433,46.734
434,39.336
435,22.177
436,15.355
437,17.995
438,21.315
439,20.151
440,19.703
441,19.806
442,19.917
443,21.179
444,25.383
445,38.039
446,36.334
447,35.406
448,43.44
449,46.603
450,42.234
451,27.523
452,15.911
453,12.988
454,11.236
455,14.897
456,21.345
457,27.278
458,29.402
459,26.442
460,23.819
461,28.184
462,32.052
463,37.237
464,34.694
465,33.064
466,29.518
467,27.683
468,30.863
469,35.143
470,38.809
471,41.445
472,43.993
473,41.722
474,42.178
475,42.988
476,44.514
477,39.463
478,34.767
479,34.417
480,37.327
481,36.966
482,35.186
483,32.863
484,32.903
485,36.747
486,37.129
487,36.921
488,30.782
489,30.727
490,33.546
491,42.272
492,45.967
493,45.274
494,41.411
495,36.66
496,32.475
497,29.026
498,27.645
499,27.958
500,27.801
501,27.59
502,25.396
503,24.558
504,23.755
505,25.07
506,26.017
507,47.12
508,62.334
509,61.93
510,44.161
511,35.966
512,43.621
513,44.819
514,37.695
515,29.706
516,26.644
517,26.764
518,26.035
519,23.581
520,21.763
521,20.116
522,20.654
523,23.212
524,25.453
525,24.533
526,19.556
527,18.944
528,18.721
529,20.748
530,19.868
531,21.257
532,28.577
533,33.115
534,34.379
535,31.254
536,28.258
537,29.197
538,30.46
539,39.458
540,42.835
541,41.008
542,32.344
543,25.345
544,21.11
545,16.677
546,14.899
547,15.027
548,17.758
549,21.212
550,24.881
551,24.451
552,21.364
553,16.127
554,13.641
555,14.831
556,16.958
557,21.213
558,24.726
559,30.629
560,34.244
561,42.084
562,41.051
563,38.216
564,33.512
565,33.892
566,39.466
567,43.055
568,43.772
569,40.416
570,39.462
571,38.876
572,41.48
573,36.486
574,36.489
575,32.748
576,32.033
577,27.548
578,22.906
579,22.756
580,21.711
581,25.724
582,21.834
583,21.03
584,22.226
585,31.041
586,37.955
587,38.063
588,33.681
589,35.068
590,32.58
591,32.056
592,33.594
593,34.4
594,36.43
595,32.783
596,35.936
597,36.794
598,32.576
599,27.053
600,20.716
601,18.9
602,18.168
603,18.197
604,19.682
605,20.735
606,22.611
607,23.656
608,28.437
609,35.214
610,42.649
611,45.589
612,51.838
613,54.319
614,54.461
615,46.354
616,40.022
617,38.455
618,34.688
619,36.833
620,30.812
621,28.942
622,21.665
623,23.981
624,27.698
625,29.411
626,34.701
627,34.151
628,36.479
629,35.866
630,45.007
631,46.499
632,46.861
633,42.914
634,40.161
635,32.755
636,26.393
637,28.67
638,33.425
639,36.402
640,34.566
641,29.35
642,23.345
643,19.829
644,19.227
645,20.522
646,22.673
647,27.473
648,31.927
649,34.009
650,31.074
651,26.48
652,23.036
653,23.067
654,34.672
655,45.33
656,43.542
657,28.915
658,16.036
659,13.376
660,13.077
661,12.061
662,13.908
663,15.575
664,15.857
665,16.089
666,20.374
667,37.278
668,42.307
669,42.541
670,50.563
671,46.723
672,43.532
673,30.046
674,22.42
675,17.047
676,13.043
677,16.772
678,22.204
679,28.772
680,29.656
681,26.931
682,25.486
683,31.276
684,36.393
685,43.478
686,43.612
687,46.134
688,45.26
689,44.395
690,45.275
691,46.289
692,46.799
693,46.353
694,44.961
695,41.623
696,40.697
697,42.754
698,43.22
699,39.154
700,37.191
701,39.174
702,43.16
703,42.075
704,38.215
705,33.944
706,33.22
707,35.566
708,36.614
709,38.25
710,33.844
711,33.275
712,32.648
713,42.667
714,49.635
715,49.63
716,44.587
717,39.224
718,37.31
719,34.273
720,30.927
721,27.48
722,25.571
723,25.013
724,24.162
725,23.969
726,24.018
727,24.816
728,24.637
729,45.792
730,62.029
731,63.121
732,44.55
733,40.238
734,49.23
735,48.958
736,37.143
737,27.356
738,26.105
739,27.141
740,27.235
741,25.281
742,21.457
743,19.842
744,19.606
745,21.684
746,23.413
747,23.174
748,22.508
749,19.483
750,17.927
751,18.604
752,18.496
753,19.339
754,23.251
755,29.432
756,33.37
757,32.981
758,29.597
759,32.323
760,32.226
761,43.441
762,46.141
763,45.104
764,35.667
765,28.583
766,26.516
767,22.114
768,18.844
769,16.983
770,19.521
771,20.541
772,24.504
773,24.252
774,23.055
775,18.19
776,16.13
777,18.755
778,20.854
779,23.906
780,24.767
781,25.112
782,28.155
783,32.979
784,38.476
785,34.921
786,34.337
787,35.126
788,39.391
789,45.964
790,43.295
791,40.448
792,32.084
793,33.807
794,36.377
795,36.85
796,34.126
797,30.775
798,30.721
799,28.765
800,25.498
801,22.777
802,21.694
803,28.665
804,28.493
805,29.854
806,29.044
807,36.961
808,40.959
809,39.287
810,35.018
811,36.773
812,37.304
813,37.005
814,37.907
815,36.935
816,35.209
817,33.086
818,36.33
819,40.988
820,37.969
821,31.427
822,22.456
823,18.328
824,17.893
825,18.26
826,19.716
827,20.704
828,24.998
829,25.44
830,30.654
831,34.337
832,43.691
833,49.694
834,50.902
835,44.397
836,36.378
837,34.585
838,35.647
839,35.014
