id,x,y,layer_name
1,1,1,block1_conv1
2,1,2,block1_conv1
3,1,3,block1_conv1
4,1,4,block1_conv1
5,1,5,block1_conv1
6,1,6,block1_conv1
7,1,7,block1_conv1
8,1,8,block1_conv1
9,1,9,block1_conv1
10,1,10,block1_conv1
11,1,11,block1_conv1
12,1,12,block1_conv1
13,1,13,block1_conv1
14,1,14,block1_conv1
15,1,15,block1_conv1
16,1,16,block1_conv1
17,1,17,block1_conv1
18,1,18,block1_conv1
19,1,19,block1_conv1
20,1,20,block1_conv1
21,1,21,block1_conv1
22,1,22,block1_conv1
23,1,23,block1_conv1
24,1,24,block1_conv1
25,1,25,block1_conv1
26,1,26,block1_conv1
27,1,27,block1_conv1
28,1,28,block1_conv1
29,1,29,block1_conv1
30,1,30,block1_conv1
31,1,31,block1_conv1
32,1,32,block1_conv1
33,1,33,block1_conv1
34,1,34,block1_conv1
35,1,35,block1_conv1
36,1,36,block1_conv1
37,1,37,block1_conv1
38,1,38,block1_conv1
39,1,39,block1_conv1
40,1,40,block1_conv1
41,1,41,block1_conv1
42,1,42,block1_conv1
43,1,43,block1_conv1
44,1,44,block1_conv1
45,1,45,block1_conv1
46,1,46,block1_conv1
47,1,47,block1_conv1
48,1,48,block1_conv1
49,1,49,block1_conv1
50,1,50,block1_conv1
51,1,51,block1_conv1
52,1,52,block1_conv1
53,1,53,block1_conv1
54,1,54,block1_conv1
55,1,55,block1_conv1
56,1,56,block1_conv1
57,1,57,block1_conv1
58,1,58,block1_conv1
59,1,59,block1_conv1
60,1,60,block1_conv1
61,1,61,block1_conv1
62,1,62,block1_conv1
63,1,63,block1_conv1
64,1,64,block1_conv1
65,1,65,block1_conv1
66,1,66,block1_conv1
67,1,67,block1_conv1
68,1,68,block1_conv1
69,1,69,block1_conv1
70,1,70,block1_conv1
71,1,71,block1_conv1
72,1,72,block1_conv1
73,1,73,block1_conv1
74,1,74,block1_conv1
75,1,75,block1_conv1
76,1,76,block1_conv1
77,1,77,block1_conv1
78,1,78,block1_conv1
79,1,79,block1_conv1
80,1,80,block1_conv1
81,1,81,block1_conv1
82,1,82,block1_conv1
83,1,83,block1_conv1
84,1,84,block1_conv1
85,1,85,block1_conv1
86,1,86,block1_conv1
87,1,87,block1_conv1
88,1,88,block1_conv1
89,1,89,block1_conv1
90,1,90,block1_conv1
91,1,91,block1_conv1
92,1,92,block1_conv1
93,1,93,block1_conv1
94,1,94,block1_conv1
95,1,95,block1_conv1
96,1,96,block1_conv1
97,1,97,block1_conv1
98,1,98,block1_conv1
99,1,99,block1_conv1
100,1,100,block1_conv1
101,1,101,block1_conv1
102,1,102,block1_conv1
103,1,103,block1_conv1
104,1,104,block1_conv1
105,1,105,block1_conv1
106,1,106,block1_conv1
107,1,107,block1_conv1
108,1,108,block1_conv1
109,1,109,block1_conv1
110,1,110,block1_conv1
111,1,111,block1_conv1
112,1,112,block1_conv1
113,1,113,block1_conv1
114,1,114,block1_conv1
115,1,115,block1_conv1
